ad_id,brand,category,price,description
62,Boldfit,yoga_mats,3529,"Boldfit extra thick exercise mat, priced at Rs 3529."
63,Ray-Ban,sunglasses,2727,"Ray-Ban UV-protection wayfarer sunglasses, priced at Rs 2727."
64,Boat,headphones,16922,"Boat wireless noise-cancelling headphones, priced at Rs 16922."
65,Boldfit,yoga_mats,1200,"Boldfit eco-friendly TPE yoga mat, priced at Rs 1200."
66,Ray-Ban,sunglasses,4089,"Ray-Ban retro round sunglasses, priced at Rs 4089."
67,Rupa,books,753,"Rupa self-help paperback, priced at Rs 753."
68,Nivia,yoga_mats,1679,"Nivia anti-slip yoga mat, priced at Rs 1679."
69,Bose,headphones,11152,"Bose over-ear headphones, priced at Rs 11152."
70,Nike,backpacks,1231,"Nike waterproof laptop backpack, priced at Rs 1231."
71,Nescafe,coffee,1776,"Nescafe instant coffee jar, priced at Rs 1776."
72,Fjallraven,backpacks,1721,"Fjallraven casual college backpack, priced at Rs 1721."
73,Noise,smartwatches,36630,"Noise AMOLED display smartwatch, priced at Rs 36630."
74,HarperCollins,books,885,"HarperCollins hardcover science book, priced at Rs 885."
75,Pigeon,cookware,2705,"Pigeon non-stick frying pan, priced at Rs 2705."
76,Apple,laptops,36437,"Apple student laptop for everyday use, priced at Rs 36437."
77,Apple,smartwatches,14644,"Apple GPS running watch, priced at Rs 14644."
78,Dell,laptops,131568,"Dell business ultrabook, priced at Rs 131568."
79,Boat,headphones,7004,"Boat bluetooth earbuds, priced at Rs 7004."
80,Vincent Chase,sunglasses,11308,"Vincent Chase retro round sunglasses, priced at Rs 11308."
81,Dell,laptops,124123,"Dell student laptop for everyday use, priced at Rs 124123."
82,HarperCollins,books,469,"HarperCollins bestselling fiction novel, priced at Rs 469."
83,JBL,headphones,14213,"JBL over-ear headphones, priced at Rs 14213."
84,Apple,laptops,101704,"Apple student laptop for everyday use, priced at Rs 101704."
85,HarperCollins,books,423,"HarperCollins programming reference book, priced at Rs 423."
86,Amazon Basics,yoga_mats,2987,"Amazon Basics eco-friendly TPE yoga mat, priced at Rs 2987."
87,HarperCollins,books,1488,"HarperCollins programming reference book, priced at Rs 1488."
88,Sony,headphones,13889,"Sony wireless noise-cancelling headphones, priced at Rs 13889."
89,Nescafe,coffee,2432,"Nescafe medium roast ground coffee, priced at Rs 2432."
90,Bose,headphones,3364,"Bose bluetooth earbuds, priced at Rs 3364."
91,Bergner,cookware,2253,"Bergner cast iron skillet, priced at Rs 2253."
92,JBL,headphones,12375,"JBL over-ear headphones, priced at Rs 12375."
93,Asics,running_shoes,4681,"Asics cushioned road-running shoes, priced at Rs 4681."
94,American Tourister,backpacks,5420,"American Tourister waterproof laptop backpack, priced at Rs 5420."
95,Vincent Chase,sunglasses,4993,"Vincent Chase UV-protection wayfarer sunglasses, priced at Rs 4993."
96,Reebok,running_shoes,8660,"Reebok lightweight running shoes, priced at Rs 8660."
97,Nike,running_shoes,2939,"Nike marathon racing shoes, priced at Rs 2939."
98,Prestige,cookware,6125,"Prestige non-stick frying pan, priced at Rs 6125."
99,Lenovo,laptops,139389,"Lenovo student laptop for everyday use, priced at Rs 139389."
100,Nike,running_shoes,4323,"Nike breathable trainers, priced at Rs 4323."
101,Bloomsbury,books,582,"Bloomsbury programming reference book, priced at Rs 582."
102,Skybags,backpacks,3111,"Skybags waterproof laptop backpack, priced at Rs 3111."
103,Penguin,books,385,"Penguin bestselling fiction novel, priced at Rs 385."
104,Blue Tokai,coffee,339,"Blue Tokai cold brew coffee pack, priced at Rs 339."
105,Penguin,books,550,"Penguin hardcover science book, priced at Rs 550."
106,Bloomsbury,books,1184,"Bloomsbury hardcover science book, priced at Rs 1184."
107,Wildcraft,backpacks,5308,"Wildcraft anti-theft travel backpack, priced at Rs 5308."
108,Asics,running_shoes,3048,"Asics cushioned road-running shoes, priced at Rs 3048."
109,Prestige,cookware,3810,"Prestige non-stick frying pan, priced at Rs 3810."
110,Garmin,smartwatches,5017,"Garmin AMOLED display smartwatch, priced at Rs 5017."
111,HarperCollins,books,328,"HarperCollins self-help paperback, priced at Rs 328."
112,Fire-Boltt,smartwatches,15147,"Fire-Boltt bluetooth calling smartwatch, priced at Rs 15147."
113,Samsung,smartwatches,43272,"Samsung bluetooth calling smartwatch, priced at Rs 43272."
114,Wildcraft,backpacks,3944,"Wildcraft casual college backpack, priced at Rs 3944."
115,Sennheiser,headphones,21210,"Sennheiser wireless noise-cancelling headphones, priced at Rs 21210."
116,Ray-Ban,sunglasses,9161,"Ray-Ban UV-protection wayfarer sunglasses, priced at Rs 9161."
117,Reebok,running_shoes,3578,"Reebok cushioned road-running shoes, priced at Rs 3578."
118,Bose,headphones,18772,"Bose studio headphones, priced at Rs 18772."
119,Skybags,backpacks,4134,"Skybags anti-theft travel backpack, priced at Rs 4134."
120,Prestige,cookware,5510,"Prestige non-stick frying pan, priced at Rs 5510."
121,Sleepy Owl,coffee,851,"Sleepy Owl medium roast ground coffee, priced at Rs 851."
122,American Tourister,backpacks,2604,"American Tourister casual college backpack, priced at Rs 2604."
123,Vincent Chase,sunglasses,11245,"Vincent Chase retro round sunglasses, priced at Rs 11245."
124,Vincent Chase,sunglasses,3975,"Vincent Chase UV-protection wayfarer sunglasses, priced at Rs 3975."
125,Boat,headphones,23250,"Boat over-ear headphones, priced at Rs 23250."
126,Sennheiser,headphones,24110,"Sennheiser studio headphones, priced at Rs 24110."
127,Nescafe,coffee,1468,"Nescafe single-origin arabica coffee beans, priced at Rs 1468."
128,Davidoff,coffee,2488,"Davidoff cold brew coffee pack, priced at Rs 2488."
129,Bergner,cookware,7697,"Bergner non-stick frying pan, priced at Rs 7697."
130,Prestige,cookware,4118,"Prestige induction base pressure cooker, priced at Rs 4118."
131,Dell,laptops,62883,"Dell student laptop for everyday use, priced at Rs 62883."
132,HP,laptops,168887,"HP thin and light laptop, priced at Rs 168887."
133,OReilly,books,958,"OReilly bestselling fiction novel, priced at Rs 958."
134,Boat,headphones,14942,"Boat wireless noise-cancelling headphones, priced at Rs 14942."
135,Wildcraft,backpacks,3655,"Wildcraft waterproof laptop backpack, priced at Rs 3655."
136,Ray-Ban,sunglasses,2901,"Ray-Ban polarized aviator sunglasses, priced at Rs 2901."
137,Prestige,cookware,3776,"Prestige induction base pressure cooker, priced at Rs 3776."
138,Fire-Boltt,smartwatches,36434,"Fire-Boltt AMOLED display smartwatch, priced at Rs 36434."
139,Hawkins,cookware,7884,"Hawkins induction base pressure cooker, priced at Rs 7884."
140,Carrera,sunglasses,9656,"Carrera retro round sunglasses, priced at Rs 9656."
141,Apple,smartwatches,22949,"Apple fitness tracking smartwatch, priced at Rs 22949."
142,Hawkins,cookware,2287,"Hawkins non-stick frying pan, priced at Rs 2287."
143,Nivia,yoga_mats,4295,"Nivia extra thick exercise mat, priced at Rs 4295."
144,Blue Tokai,coffee,315,"Blue Tokai instant coffee jar, priced at Rs 315."
145,Rupa,books,1356,"Rupa bestselling fiction novel, priced at Rs 1356."
146,Reebok,running_shoes,3193,"Reebok lightweight running shoes, priced at Rs 3193."
147,Fjallraven,backpacks,4415,"Fjallraven waterproof laptop backpack, priced at Rs 4415."
148,Bergner,cookware,6525,"Bergner cast iron skillet, priced at Rs 6525."
149,Sleepy Owl,coffee,1005,"Sleepy Owl medium roast ground coffee, priced at Rs 1005."
150,Fire-Boltt,smartwatches,28810,"Fire-Boltt GPS running watch, priced at Rs 28810."
